HSHD_TYPE_NM,AREA_NM,CTGG_NM,EMD_NM,USEAMT,TEMP,SECT_1,SECT_2,SECT_3,SECT_4,SECT_5,SECT_6,SECT_7,SECT_8,SECT_9,SECT_10,SECT_11,H_DAY,T_STD,Unnamed: 19,Unnamed: 20
다세대주택(빌라),경남,양산시,남부동,9,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,1,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,67,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,67,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,135,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,156,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,10,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,1,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,10,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,54,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,110,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,48,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,18,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,83,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,83,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,78,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,30,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,31,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,54,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,154,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,91,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,100,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,42,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,33,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,156,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,6,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,25,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,121,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,32,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,107,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,74,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,9,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,42,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,2897,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,3,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,254,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,158,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,113,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,73,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,67,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,24,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,61,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,143,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,200,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,54,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,139,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,45,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
다세대주택(빌라),경남,양산시,남부동,18,2.3,0,1,3,7,14,20,25,30,31,31,31,11,4.789821848,,
